event_date,unique_visitors,logged_in_users,total_visits,total_logged_in_visits
2026-04-17,894021,472430,2092214,1917924
2026-04-18,1240492,648307,3487842,3242403
2026-04-19,1177786,626603,3359669,3163103
2026-04-20,850606,457076,1976110,1825593
2026-04-21,854989,454238,2000350,1846121
2026-04-22,856637,456768,1995686,1839617
2026-04-23,777606,415362,1774496,1629042
2026-04-24,861796,454692,2062874,1887556
2026-04-25,1086496,571973,3037206,2828188
2026-04-26,887014,470591,2219108,2050326
2026-04-27,838393,448137,2019254,1861928
2026-04-28,938139,492186,2337002,2141341
2026-04-29,944634,497260,2315458,2121419
2026-04-30,862055,455266,2136693,1955225
2026-05-01,924043,483049,2351526,2149752
2026-05-02,1150549,598543,3262877,3022863
2026-05-03,1170760,620180,3447148,3241203
2026-05-04,938599,497153,2432185,2250479
2026-05-05,878918,467465,2064788,1907205
2026-05-06,930473,489656,2232803,2059646
2026-05-07,873597,460791,2152249,1984131
2026-05-08,861900,455394,2067246,1895422
2026-05-09,1103198,578347,3059455,2842917
2026-05-10,972164,512541,2526965,2340895
2026-05-11,819276,436110,1940696,1783744
2026-05-12,775046,410281,1749271,1599030
2026-05-13,845875,445654,1999015,1829954
2026-05-14,796932,420297,1863838,1695177
2026-05-15,909646,478571,2201184,2012856
2026-05-16,1154785,605829,3184431,2954697
2026-05-17,974799,516354,2616068,2426230
2026-05-18,819956,440192,1905749,1756371
2026-05-19,847376,446220,1956551,1791843
2026-05-20,839513,440811,1952963,1793032
2026-05-21,711769,379296,1621181,1471465
2026-05-22,758923,398801,1717752,1557233
2026-05-23,967864,505217,2512640,2308114
2026-05-24,1049202,554117,2722452,2535147
2026-05-25,705770,380485,1594181,1463721
2026-05-26,657561,352869,1404887,1275361
2026-05-27,744482,396418,1687548,1543173
2026-05-28,727023,384810,1644750,1498217
2026-05-29,771020,403773,1738561,1571893
2026-05-30,1240168,642633,3265546,3014002
2026-05-31,773180,411424,1751570,1597975
2026-06-01,733330,392789,1686335,1544075
2026-06-02,719756,382013,1589367,1448342
2026-06-03,738424,389313,1630048,1478517
2026-06-04,741216,389561,1648171,1492043
2026-06-05,863004,452861,2071864,1887736
2026-06-06,1089813,570868,2992033,2770275
2026-06-07,826436,439560,1880257,1718813
2026-06-08,791536,421589,1765845,1613662
2026-06-09,777451,411765,1694894,1543300
2026-06-10,893718,468345,1970793,1795696
2026-06-11,1201009,618761,2988106,2751537
2026-06-12,1104501,578856,2862523,2649569
2026-06-13,1285027,662684,3567422,3297513
2026-06-14,1174649,619663,3398204,3175139
2026-06-15,1121004,593030,3071259,2856025
