event_date,unique_visitors,logged_in_users,total_visits,total_logged_in_visits
2026-04-17,206440,163371,434610,425949
2026-04-18,268463,209172,651979,640851
2026-04-19,259764,198966,612026,601752
2026-04-20,211356,165071,430864,422349
2026-04-21,221596,172954,480131,471456
2026-04-22,221523,173431,489540,480525
2026-04-23,202672,158569,425197,417048
2026-04-24,219661,170025,473324,463869
2026-04-25,255077,197451,623171,612867
2026-04-26,229007,178705,538069,529022
2026-04-27,206968,162809,438476,429874
2026-04-28,266441,194720,565708,554316
2026-04-29,255609,190429,549037,538152
2026-04-30,219337,170359,469431,460813
2026-05-01,223264,172460,485065,475854
2026-05-02,270961,207717,669458,658541
2026-05-03,262926,201229,638934,626888
2026-05-04,224865,177017,504634,495590
2026-05-05,256568,190464,535506,525932
2026-05-06,273499,198942,579994,570865
2026-05-07,226444,172881,487013,479467
2026-05-08,216839,166609,460400,452986
2026-05-09,269017,204391,641270,633015
2026-05-10,269700,204917,643367,634868
2026-05-11,209501,163530,430239,423523
2026-05-12,211317,160571,427198,418340
2026-05-13,237826,174595,499719,491856
2026-05-14,218648,165998,460383,452369
2026-05-15,216005,164645,442742,435018
2026-05-16,257078,194864,581264,572803
2026-05-17,244002,189662,585951,577954
2026-05-18,197201,154617,393514,386495
2026-05-19,214886,163848,434426,426431
2026-05-20,220687,163660,450927,442020
2026-05-21,197418,150204,400926,393057
2026-05-22,191901,146579,382623,375350
2026-05-23,244308,181464,531515,522963
2026-05-24,250602,191257,570332,562011
2026-05-25,179197,139080,354355,347389
2026-05-26,176097,134392,340997,333423
2026-05-27,203051,153856,410170,401782
2026-05-28,183821,141597,363106,355754
2026-05-29,190075,144458,377170,369297
2026-05-30,285625,212678,633540,623461
2026-05-31,200602,153341,427810,420448
2026-06-01,178163,140319,369146,362224
2026-06-02,177471,138233,357156,350166
2026-06-03,175136,136988,349952,342567
2026-06-04,188769,145804,375252,367002
2026-06-05,205200,153015,408767,399773
2026-06-06,232349,177035,515309,506067
2026-06-07,195143,150536,406676,398791
2026-06-08,190677,148016,373659,365204
2026-06-09,205776,158548,401287,390838
2026-06-10,238394,182220,459165,448123
2026-06-11,343002,254250,704592,686973
2026-06-12,299504,231500,660907,648084
2026-06-13,355494,267155,815309,797785
2026-06-14,324662,251249,777061,763673
